date,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,imd_rainfall_mm,IMD_MaxTemp_C,IMD_MinTemp_C,chirps_rainfall_mm,LST_Celsius,NDVI,LST_was_missing,NDVI_was_missing
2015-01-01,99994.67882805018,297.1563992417727,0.0023683517293654,-0.1578590440932818,0.1485692988136262,0.4386143366495769,1.6563307,31.26004981994629,22.669208526611328,2.4157882,30.02937296330265,0.7198047710988277,0,0
2015-01-02,100184.64840966236,297.3176733176279,3.5681337654468435e-06,-0.3965203760592874,0.2869875378626975,0.4190644260567268,0.0,31.55080795288086,20.85378646850586,0.0,30.019338746429916,0.7184675171291477,1,1
2015-01-03,100210.43821000964,297.6972634665538,2.999038320849232e-06,0.1895529836347733,-0.4225922431799644,0.3995977346193745,0.0,31.200414657592773,20.858184814453125,0.0,30.009304529557184,0.7171302631594677,1,1
2015-01-04,100158.19775585191,298.8228838582241,0.0001223842924631,0.4481570468186419,-0.169291973917877,0.3841727156657369,0.0,31.153526306152344,21.374555587768555,2.8387716,29.99927031268445,0.7157930091897877,1,1
2015-01-05,100106.63486432892,298.9332621484516,0.0002959932926017,0.4368889459522292,-0.0872423734153367,0.3725048866125816,0.0,31.13361358642578,22.03388786315918,0.0,29.98923609581172,0.7144557552201078,1,1
2015-01-06,100178.9192869223,298.86826376640937,0.0003385055313123,0.2804699088056426,-0.1353008590712858,0.3629987965141677,0.0,30.807153701782227,21.636150360107425,0.0,29.979201878938987,0.7131185012504279,1,1
2015-01-07,100174.94941802869,299.1486428090532,0.0005220968919203,0.4482432318647246,-0.2687867184343009,0.3547450117498523,0.0,30.881959915161133,21.425216674804688,0.0,29.969167662066255,0.7117812472807479,1,1
2015-01-08,100232.03722618836,298.78070046669694,0.0011999263080049,0.1516507338015969,0.0580035254233641,0.3536782060820482,0.0,30.697025299072266,22.03096389770508,0.009753278,29.959133445193523,0.7104439933110679,1,1
2015-01-09,100291.1686509968,298.21312363109377,0.0019382809016441,-0.2159865889969457,0.6321901980944521,0.3584390552564599,0.16104786,30.30690193176269,22.30716896057129,0.12027634,29.94909922832079,0.7091067393413879,0,1
2015-01-10,100212.02283405176,298.9430206509295,0.0002587066906006,0.2028340348978151,-0.0249875423460627,0.3520621942103595,0.1444694,30.672088623046875,21.844894409179688,0.0,30.032583807558446,0.7077694853717079,1,1
2015-01-11,100170.61230004791,298.46838098606395,0.0009197063247362,-0.2726967586137326,0.1166668562505437,0.3452444987096092,0.0,30.851417541503903,20.377376556396484,0.0,30.1160683867961,0.7064322314020279,1,1
2015-01-12,100190.00711955225,297.464246961221,0.0002482903517412,-0.2370970014228675,0.2487283265453646,0.3382186948111231,0.0,30.17466163635254,19.41242027282715,0.0,30.199552966033757,0.705094977432348,1,1
2015-01-13,100115.718292849,297.7388731343354,9.969901735000047e-05,0.030891254560244,-0.0655774444090452,0.3279085751237541,0.0,30.96504592895508,18.9221134185791,0.0,30.283037545271412,0.703757723462668,1,1
2015-01-14,100169.94322108482,297.9930552012711,0.000447354282649,0.1423447061589851,0.1375679577356098,0.3204720496400564,0.0,30.97885513305664,19.735536575317383,0.7502859,30.366522124509068,0.7024204694929881,1,1
2015-01-15,100148.20605274188,298.9163485872701,0.0001500603521354,0.3932127247002848,0.1213381610154192,0.3144045158181612,0.0,30.72623634338379,20.235685348510746,0.38101932,30.450006703746723,0.7010832155233081,1,1
2015-01-16,100154.73457031252,299.2784915719453,4.186559340049481e-05,0.5007558236542335,0.1080655401237166,0.307145784604595,0.0,30.95533943176269,20.66055679321289,0.0,30.53349128298438,0.6997459615536281,1,1
2015-01-17,100227.32389480068,299.61437073017,0.0004953953383073,0.4394023408195526,0.1476163278046239,0.3012120579394344,0.0,31.0095157623291,21.114612579345703,0.008324373,30.616975862222034,0.6984087075839481,0,0
2015-01-18,100191.5502020474,300.0670267217644,8.720534629972088e-05,0.3404704065432494,0.0977759161214718,0.297837661363156,0.0,31.00900650024414,22.01028251647949,0.0,30.645714208353702,0.6970343753990846,1,1
2015-01-19,100207.72046328727,299.724177450129,0.0014177819863857,0.328214374703009,0.3730357182345628,0.2958766563093982,0.0,31.019031524658203,21.629335403442383,0.18935119,30.67445255448537,0.6956600432142211,1,1
2015-01-20,100344.7315365332,299.4730881567477,0.0004219073263803,0.4313117355953231,-0.0283627743191189,0.2981922037117326,0.0,31.094425201416016,20.380748748779297,0.40236205,30.703190900617038,0.6942857110293575,1,1
2015-01-21,100474.95808084893,299.6211603066748,0.0009379717843632,0.2427158724211185,0.2250278013967463,0.2957902823554146,0.0,30.789262771606445,20.88399124145508,0.0,30.731929246748706,0.692911378844494,1,1
2015-01-22,100433.18257318606,299.132734713792,0.0001009202482033,0.1593385244786054,0.1872166739021681,0.2950734335069913,0.0,31.68314552307129,20.29169464111328,0.0,30.760667592880374,0.6915370466596306,1,1
2015-01-23,100208.44701613388,299.28552434168574,2.6919286826561245e-05,0.1874980949898789,0.2540796260906818,0.2886950651439214,0.0,30.909910202026367,21.16396713256836,0.72485125,30.789405939012042,0.6901627144747671,1,1
2015-01-24,100221.38843248626,299.7599158141623,9.385818037493476e-05,0.3356025633684063,0.2448162286400338,0.2835747776543044,0.0,31.14739418029785,21.711030960083008,0.2108101,30.81814428514371,0.6887883822899036,1,1
2015-01-25,100278.28929904517,300.0696674229998,0.0002217673175298,0.2883393973865729,0.1966876241165103,0.2794386035729186,0.0,31.028812408447266,22.29330825805664,0.0,30.846882631275378,0.6874140501050401,0,1
2015-01-26,100189.86317356622,299.95303900035407,0.000229987294852,0.2123446301573538,0.16940151050173,0.2771639238554856,0.0,31.294960021972656,20.816219329833984,0.0,30.95450115840972,0.6860397179201765,1,1
2015-01-27,100078.46179148708,299.822213517697,0.0001111888672493,0.3848764593482474,0.2465407539418831,0.2741788690208932,0.0,30.943603515625,21.33684158325196,0.0,31.06211968554406,0.684665385735313,1,1
