system:index,NDVI,date,.geo
2017_09_30,0.5326253636197592,2017-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_10_16,0.7687259459712795,2017-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_01,0.7580209427823983,2017-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_17,0.7473834391334634,2017-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12_03,0.7544595783826381,2017-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12_19,0.7456393406728973,2017-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_01,0.6877985065639749,2018-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_01_17,0.6737562656340702,2018-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_02,0.6848528143180421,2018-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_02_18,0.6828463865956986,2018-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_06,0.6735570486090696,2018-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_03_22,0.6697946839921348,2018-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04_07,0.6544252983756489,2018-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_04_23,0.6810488727890978,2018-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_09,0.6672241956834694,2018-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_05_25,0.5514612518300809,2018-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_10,0.38646746288612244,2018-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_06_26,0.5487747857477119,2018-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_12,0.3043414152840837,2018-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_07_28,0.39943148122424416,2018-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_13,0.387075384024174,2018-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_08_29,0.6765570648425422,2018-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_14,0.6620656703601303,2018-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_09_30,0.6475457178548404,2018-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_10_16,0.7198774595347376,2018-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_01,0.7320101716728681,2018-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_11_17,0.7257025403665723,2018-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_03,0.7158111633543447,2018-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2018_12_19,0.7277248348871888,2018-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_01,0.7081256766131765,2019-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_01_17,0.6799153215220514,2019-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_02,0.6752176986630625,2019-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_02_18,0.651344554649647,2019-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_06,0.6550464063896155,2019-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_03_22,0.6661418651494639,2019-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_07,0.6722869461528095,2019-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_04_23,0.6588305799645181,2019-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_09,0.645684804929669,2019-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_05_25,0.6319303027871995,2019-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_10,0.5265245610354344,2019-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_06_26,0.6314735438054655,2019-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_12,0.5597896529311951,2019-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_07_28,0.4830224556401846,2019-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_13,0.3824555609907465,2019-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_08_29,0.567123667242184,2019-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_14,0.6013026896051603,2019-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_09_30,0.7484851573202586,2019-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_10_16,0.6589541559229997,2019-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_01,0.7637960853378287,2019-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_11_17,0.7472478457566063,2019-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_03,0.7499526509838538,2019-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2019_12_19,0.72693946618922,2019-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_01,0.708367993189749,2020-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_01_17,0.6959331359651285,2020-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_02,0.7007883427618138,2020-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_02_18,0.68150204843009,2020-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_05,0.6643334859654441,2020-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_03_21,0.674155194986598,2020-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_06,0.6901530817660086,2020-04-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_04_22,0.6588950093008523,2020-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_08,0.6465307093294691,2020-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_05_24,0.6118210943480579,2020-05-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_09,0.6636179991506943,2020-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_06_25,0.6100170800517656,2020-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_11,0.5769331240914533,2020-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_07_27,0.5388649527908435,2020-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_12,0.4877663588748576,2020-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_08_28,0.5946552007556425,2020-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_13,0.5249572509379135,2020-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_09_29,0.6162169051025717,2020-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_15,0.734490803159021,2020-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_10_31,0.7647452480619442,2020-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_11_16,0.7641648222143804,2020-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_02,0.7713289458298795,2020-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2020_12_18,0.7494843866068763,2020-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_01,0.735269555314847,2021-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_01_17,0.733747454368972,2021-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_02,0.7169711096204693,2021-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_02_18,0.697711472425459,2021-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_06,0.6810161165975815,2021-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_03_22,0.6828840894690686,2021-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_07,0.6508710024171821,2021-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_04_23,0.7778574932051625,2021-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_09,0.629003868990959,2021-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_25,0.7056454434068244,2021-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_10,0.6524142895805191,2021-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_06_26,0.5720114255418195,2021-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_07_12,0.38819183558411824,2021-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_07_28,0.5486031055319596,2021-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_08_13,0.49020790242802637,2021-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_08_29,0.4524247875601873,2021-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_09_14,0.5519833698181505,2021-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_09_30,0.5813864525658885,2021-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_10_16,0.7327071702186961,2021-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_01,0.42302022180925164,2021-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_11_17,0.767999873987421,2021-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_03,0.7608349257409102,2021-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_12_19,0.7132170732666339,2021-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2022_01_01,0.6793844136901583,2022-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
