system:index,date,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20170101,2017-01-01,100071.05403258445,298.9347197673315,1.548340795626435E-5,0.11954069063058481,-0.10459854197568058,0.2909636893572179,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170102,2017-01-02,100146.57058513691,299.0636866106725,1.1918909085175152E-4,0.21742255940777216,-0.44672273344282265,0.2870604205208912,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103,2017-01-03,100094.03551299642,299.16327792879684,7.358008324099089E-5,0.132907074666221,-0.14331831979642687,0.2830011033283889,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170104,2017-01-04,100062.69159489477,298.9539292747405,1.4018009500902116E-4,0.18184648080003396,0.12067149527758728,0.28012174688174846,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170105,2017-01-05,100012.21428820462,298.92768824325475,4.922607498146556E-4,0.16740620622039917,0.5803541313471278,0.27957880641709354,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170106,2017-01-06,100005.92602448087,299.1469333952243,4.6538297440434673E-4,0.3555084875189122,0.19281606035660145,0.2794073199778742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170107,2017-01-07,99851.14408916149,299.01714378716434,2.7720850263826335E-4,0.31578329449477205,-0.11353751479296861,0.27980213782036156,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170108,2017-01-08,99802.27637722435,299.17141553968435,9.731558022754936E-5,0.2126233226649104,0.004494560224847413,0.2775284723244488,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170109,2017-01-09,99890.08034131206,298.71329167078636,4.878179914736557E-4,0.295226684627173,0.0812373956044515,0.27723047197087197,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170110,2017-01-10,99999.418527641,298.91606362786825,4.388880134452674E-4,0.318821636540541,-0.31035156111861095,0.27697087767204714,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170111,2017-01-11,100004.43138407049,298.9311238364656,0.0011937395436204786,0.22586026975836013,-0.08464789025155035,0.2794727292652958,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170112,2017-01-12,99953.13551122382,298.6363486115614,4.498016816329648E-4,0.06370708225638637,0.0198963189127927,0.2840701435775565,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170113,2017-01-13,99887.60835054265,298.96365546308925,0.0029515829813533713,0.24543249456623675,0.47061308755197134,0.28688681247443854,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170114,2017-01-14,100014.77465447603,298.82951314719577,0.0012938173882364444,0.20547321052244044,-0.2731927813697226,0.31377090979602607,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170115,2017-01-15,100120.9529865392,299.3315802655665,5.660699815781039E-4,0.27383757849871104,0.12551615881309414,0.30771069378216026,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170116,2017-01-16,100141.47665259636,298.8141234448673,4.893765610140459E-4,-0.014667311945934826,0.2057309777192992,0.3035036336488629,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170117,2017-01-17,100106.26454266965,298.8228056550327,1.0305162451217869E-4,-0.029522976489547985,0.2590236786481122,0.2981893116643415,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170118,2017-01-18,100110.86005180862,298.6836058495924,5.4890055968629245E-5,-0.4695759790134854,-0.2882193670721062,0.2912813356997718,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170119,2017-01-19,100139.42131769379,298.43849918357694,5.67168830059042E-7,-0.15168505166926513,-0.13897802079149504,0.2844392073987009,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170120,2017-01-20,100092.863011137,299.4448803024577,4.043161573279133E-6,0.33335691714089055,-0.13879063518048193,0.2791418144802934,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170121,2017-01-21,100148.12272880842,300.17883968983784,0.0024095118352105544,-0.5613352744277533,-0.18780011694539342,0.2805006741646291,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170122,2017-01-22,100236.74755272428,298.4363055377643,0.0027177665627331786,-0.8617077197058723,-0.3999081578932785,0.31163397281269356,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170123,2017-01-23,100158.46503826426,299.66657770567036,3.627437762385076E-5,-0.3066491812148739,-0.13953772914110152,0.3084037261221871,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170124,2017-01-24,100071.76645406273,299.803268008227,8.769069417615214E-7,-0.298815858981718,-0.19942448199089083,0.29848084791962787,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170125,2017-01-25,100129.81061824775,298.7117144933959,2.3164266429564773E-4,-1.1733614651969684,-0.7956268310776151,0.29335634128622373,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170126,2017-01-26,100091.84727831479,300.115929614238,0.0014983960094161267,-0.6207950698855063,-0.7468351595303465,0.29518842290178327,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170127,2017-01-27,100032.37905140202,299.1821491520255,0.045585683422358594,-0.0539200691122722,-0.19707218815979724,0.37841726991616986,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170128,2017-01-28,100046.1354370924,297.74796007447327,0.022458618117870515,-0.44359657382976564,0.02125262726899421,0.45945630610626836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170129,2017-01-29,100052.07959207415,299.6616485298561,0.0037915044647769264,-0.04845728360054686,-0.06719416310429245,0.4541050194117697,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170130,2017-01-30,100068.27373590389,299.2858994324945,0.001213555633909312,-0.18250570447417125,0.21986865475711123,0.4514330044175616,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170131,2017-01-31,100050.42823597995,299.18807850257764,1.5480369352485147E-4,0.013347344410535538,-0.03320209880275844,0.4299442051895423,"{""type"":""MultiPoint"",""coordinates"":[]}"
