system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20230101,2023-01-01,292.49868059416264,-0.017925921342581825,8.114956499349758E-4,100461.12739139843,6.071699254572112E-8,2.1133922613775697E7,298.5512695133665,8.787539760167747E-6,-0.16302389306995732,-0.09428840698653052,0.34349139823780606,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102,2023-01-02,292.50635330584464,-0.01851204019395875,7.870294075772262E-4,100452.24061917754,7.29098287335467E-8,2.1824507868734226E7,298.265887264908,9.893261806822798E-6,-0.09972241595754662,0.2476970346118126,0.33352056290756876,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230103,2023-01-03,291.69768141828945,-0.0184798172066842,7.628737937080016E-4,100449.81939592349,1.434364389350085E-8,2.152146405337181E7,298.2827857497049,1.7167772716740841E-6,-0.07613829896346581,-0.14702093975233593,0.3246264661185257,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230104,2023-01-04,292.3685372505413,-0.0183175581803272,7.400019876887297E-4,100286.78607276783,9.327304737257519E-7,2.122220406707537E7,298.82231205801423,1.3225105718191605E-4,-0.1351141898817477,-0.06834002364525814,0.3167403388845905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105,2023-01-05,292.08040245199237,-0.01904422150883828,7.164481445593478E-4,100369.10245119652,4.82400240469959E-7,2.1868665530472416E7,298.6028525490847,6.740701689668335E-5,0.14941275968103404,-0.3212207963595899,0.3108513271855914,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230106,2023-01-06,292.5967711409578,-0.017893798004471776,6.936938699040652E-4,100395.35561707152,7.649809068348965E-8,1.9344454047601875E7,299.5265373049312,1.1008474778946469E-5,-0.44688167712739746,-0.34092469974297257,0.30431351774600657,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230107,2023-01-07,292.9262156719801,-0.015818290982034036,6.862692064728242E-4,100336.11449581951,1.3000086309933038E-5,1.7149287656689506E7,299.14610111027014,0.0017371413077578004,-0.4397783281711708,-0.10490898159436128,0.30771434408839704,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230108,2023-01-08,292.84619049464783,-0.01818006883082818,6.53244616793589E-4,100274.89038423433,6.245537179065792E-8,1.966755997115038E7,299.6183300921659,9.211368007089016E-6,-0.13573429787699198,-0.18857554551686415,0.3067762437011777,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230109,2023-01-09,293.01330684643983,-0.018509470238029596,6.33156932608298E-4,100372.2700289224,5.627552761397034E-7,2.0888774816444285E7,299.4170769990557,8.751027065835027E-5,0.029713184834386404,-0.11840468575596479,0.3001737596897254,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230110,2023-01-10,292.33058082015634,-0.017810655355431998,6.131051176083549E-4,100325.22295459521,3.5481744409252336E-7,2.1008227749008294E7,298.57953275306147,5.6271994867090765E-5,-0.01731096484480833,-0.05419985781439314,0.2952332940865687,"{""type"":""MultiPoint"",""coordinates"":[]}"
