system:index,date,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20250101,2025-01-01,100063.05827838335,299.6477679866971,0.0,-0.9612924410526191,-0.7705132497132205,0.33410222376463355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102,2025-01-02,100143.31740769907,298.681670154627,0.0,-0.09142137677183178,-0.08099294231837578,0.32414547825879897,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103,2025-01-03,100085.6218574268,298.9633600125163,8.52346317969932E-7,-0.44513012431736587,-0.45449490368917955,0.31536635935256396,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104,2025-01-04,100131.64000101661,298.5246504049832,6.985758944104564E-11,-0.11747015151629041,-0.22403068226652517,0.30768892228825473,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105,2025-01-05,100153.95037885087,298.47641308896027,3.809621037019963E-5,-0.06181354857448318,-0.057878246400803114,0.3013787294239476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106,2025-01-06,100131.20289145382,299.05972988804115,8.556818786618875E-6,0.15153319549927385,-0.13743314653910876,0.2960372322496134,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107,2025-01-07,100102.0948974228,299.1034621162934,2.2586594501360294E-5,0.1064831022603507,0.19186436950852348,0.2911427028191493,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108,2025-01-08,100085.09011486087,299.0753662603694,1.3291223768460182E-4,-0.059633663575055174,0.1226889614102244,0.28807825342309723,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109,2025-01-09,100159.92753088048,299.4529039731664,2.1006470009432E-4,0.16841536943034666,-0.18827784037071293,0.28604628263377907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110,2025-01-10,100216.42756985374,300.3588689970761,4.17945131630896E-6,0.024795667356217563,-0.4327128871528415,0.2823178957024221,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111,2025-01-11,100249.55101626363,300.3448327439725,2.0856346093227994E-4,0.5736059781693685,-0.10333858388650158,0.27913547912058406,"{""type"":""MultiPoint"",""coordinates"":[]}"
