system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20250124,2025-01-24,293.5209374481103,-0.016724002158979283,4.759079206088714E-4,99923.69404686608,6.567768744514429E-7,2.0650494900108192E7,299.4224003806597,9.346698367277357E-5,-0.2341098182404008,-0.28848984198782907,0.3704713148944065,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125,2025-01-25,293.67711366932474,-0.017716605647501004,4.6062986428583734E-4,99973.94742228117,6.691819702379549E-8,2.1310397569419406E7,299.6553758251394,8.780131733808716E-6,-0.09265189000886428,-0.06324437091894801,0.35487541646277604,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250126,2025-01-26,293.37194703688255,-0.019465436080851536,4.472952729693571E-4,99933.17226215027,1.2532451545723586E-6,2.2307462703930765E7,299.94561081996466,1.7348326118269978E-4,-0.012093242665783877,-0.1038058566737597,0.3415464016519669,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250127,2025-01-27,291.71612573704584,-0.01971112379352195,4.3207480616832617E-4,99947.75285743432,1.9894635423700863E-7,2.275326744752975E7,299.3526699615509,2.8481657033869183E-5,-0.20247390988440825,0.07624817284300776,0.3301890851614754,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250128,2025-01-28,293.1386187253399,-0.01716222274300212,4.187244136024802E-4,100100.18900751485,9.125550645291054E-8,2.071994749224667E7,298.7219037829662,1.565422912990041E-5,0.12394280529091002,-0.042746545202615435,0.320727455514256,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129,2025-01-29,293.5646735953803,-0.014169402343946116,4.066278143046009E-4,100113.29618316553,5.964763406120051E-10,1.5673162238730617E7,299.229908987312,9.469409471001245E-7,-0.2476411730728123,0.09718361415603959,0.3133491491351453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250130,2025-01-30,294.88160149388216,-0.016287695511697307,3.9848130165434393E-4,100025.36269618118,3.551969588813136E-6,1.8187440174540214E7,300.35470983594894,5.414338025735474E-4,0.2558136719008853,-0.18327211218823722,0.30836437671054723,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250131,2025-01-31,295.4701824009398,-0.015649790835647093,4.059844823292866E-4,100039.10611949822,2.135220462348201E-5,1.7050592783988465E7,300.10054017076243,0.003266959587594808,0.12238480327134808,0.28394302380086434,0.3180556888261629,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250201,2025-02-01,295.9596094520552,-0.01595229093553657,3.776078109400737E-4,100098.50464932497,3.137315089118812E-6,1.9932761218175266E7,300.0939329926649,5.010462832495706E-4,0.10055457965329456,0.23968830514461437,0.32349087169127677,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202,2025-02-02,295.24228198242565,-0.01899141556050345,3.6523023367014077E-4,100077.992974596,1.9161184471177146E-6,2.247697217021277E7,300.48496538366976,3.033542699158653E-4,0.3575855383063068,-0.013151739720957747,0.3157786869031189,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203,2025-02-03,295.0061989850846,-0.01859090713534895,3.5328667085608376E-4,100174.36174086618,1.0290963315293115E-6,2.170579279552831E7,300.0886485258796,1.838888156745153E-4,0.17921809964432772,0.2704576044533169,0.3095760620590414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250204,2025-02-04,293.8493721105972,-0.021463640091965618,3.4146219642421116E-4,100119.31271106617,2.772835803040519E-7,2.350475171655247E7,300.4237173213196,4.795797249711027E-5,0.28409351496072277,0.25558494721944697,0.30142645509731086,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250205,2025-02-05,293.36272530498985,-0.021393237411814654,3.3330276549356833E-4,100036.42962851182,2.717702043989356E-6,2.2450024642625317E7,300.0223199571751,4.4172305054067563E-4,0.19503160647323373,0.3013648793507917,0.2971594979347755,"{""type"":""MultiPoint"",""coordinates"":[]}"
