system:index,date,surface_pressure,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20230101,2023-01-01,100461.12739139843,298.5512695133665,8.787539760167747E-6,-0.16302389306995732,-0.09428840698653052,0.34349139823780606,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102,2023-01-02,100452.24061917754,298.265887264908,9.893261806822798E-6,-0.09972241595754662,0.2476970346118126,0.33352056290756876,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230103,2023-01-03,100449.81939592349,298.2827857497049,1.7167772716740841E-6,-0.07613829896346581,-0.14702093975233593,0.3246264661185257,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230104,2023-01-04,100286.78607276783,298.82231205801423,1.3225105718191605E-4,-0.1351141898817477,-0.06834002364525814,0.3167403388845905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105,2023-01-05,100369.10245119652,298.6028525490847,6.740701689668335E-5,0.14941275968103404,-0.3212207963595899,0.3108513271855914,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230106,2023-01-06,100395.35561707152,299.5265373049312,1.1008474778946469E-5,-0.44688167712739746,-0.34092469974297257,0.30431351774600657,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230107,2023-01-07,100336.11449581951,299.14610111027014,0.0017371413077578004,-0.4397783281711708,-0.10490898159436128,0.30771434408839704,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230108,2023-01-08,100274.89038423433,299.6183300921659,9.211368007089016E-6,-0.13573429787699198,-0.18857554551686415,0.3067762437011777,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230109,2023-01-09,100372.2700289224,299.4170769990557,8.751027065835027E-5,0.029713184834386404,-0.11840468575596479,0.3001737596897254,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230110,2023-01-10,100325.22295459521,298.57953275306147,5.6271994867090765E-5,-0.01731096484480833,-0.05419985781439314,0.2952332940865687,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230111,2023-01-11,100224.2158027628,297.8775099162686,8.581309242451445E-5,0.18101425201850727,-0.21664704942892402,0.2910403256118836,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230112,2023-01-12,100155.61498768115,297.5678594121281,2.301538889046142E-8,0.002503802618995891,0.265773504338366,0.2867705516767038,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230113,2023-01-13,100237.81569856797,297.79953667945273,2.9449793782011654E-6,0.2314774479369072,-0.1777294775602522,0.28289255538171904,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230114,2023-01-14,100197.45806239858,298.2072989015228,9.891842725343153E-6,-0.08626772632592002,0.14330826183683182,0.2794470476952292,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230115,2023-01-15,100137.65449385442,298.4052828426387,1.864309136675725E-6,0.02588335673014324,0.09380273120250536,0.2764142486163238,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230116,2023-01-16,100162.26505266796,298.96695275736033,5.245184578144858E-5,0.1974653542679453,-0.04971656337611476,0.27392760296397545,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230117,2023-01-17,100232.01400038927,298.761509491684,1.0201035415227411E-4,0.18792539735384356,-0.23826245453971295,0.27237406910748313,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230118,2023-01-18,100284.77831456043,298.98912238318104,2.5232834283096774E-5,-0.05613025248745684,-0.09981077387149785,0.27043069912158096,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230119,2023-01-19,100254.44185473626,298.494728647125,1.028849888627196E-5,-0.3088099651861713,-0.29384822263097465,0.2684217408981902,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230120,2023-01-20,100280.77950553472,298.27136569407753,5.714784113427104E-6,-0.0796891655081066,-0.09903670122509091,0.266530876650319,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121,2023-01-21,100193.6027263573,298.8674903837072,8.153916531556189E-7,0.21061565446400815,-0.19003848064288248,0.26493081268116137,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230122,2023-01-22,100077.39617781258,298.83223490022044,1.2139530816836519E-4,-0.6230764007293229,-0.3508094014678958,0.2642921309500363,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230123,2023-01-23,100062.85128328932,299.7951712726988,4.954736525185972E-4,0.3269137487859734,0.02449633218531628,0.264214344989911,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230124,2023-01-24,100133.49752173349,298.2799523905329,0.013468359908798815,-0.2761831245738765,0.012427702934814478,0.3241883867247516,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230125,2023-01-25,100096.33475937988,298.6728837723657,0.0010643107743681065,0.15800948153895988,-0.08817928898347399,0.38258189595595393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230126,2023-01-26,100098.54246062996,298.9607725912654,6.568815271639696E-4,0.04355609232107741,0.36989155691508885,0.36525070278930294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230127,2023-01-27,100090.40869123017,298.9345689565607,1.5815898600375956E-4,0.08993780780603775,0.19341473327776118,0.351254253408086,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230128,2023-01-28,100015.13841913559,298.7966408163815,1.1668729617359794E-4,0.17183222692163824,-0.3351537281682478,0.33637561710970754,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230129,2023-01-29,99974.00004314062,298.6574004437291,2.1158409157107407E-6,-0.1633722635684843,0.15884969509311386,0.32322406080970256,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230130,2023-01-30,100078.06710160618,299.62672739960936,0.002098622692826922,0.466862788752361,-0.20703027167849308,0.3166346889889746,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230131,2023-01-31,100030.89834147549,299.5556819279302,0.0019744732216969985,0.1829606859941067,-0.5395829021135394,0.3313542133427137,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230201,2023-02-01,99936.15247017842,300.19802028185075,4.2754042739280687E-4,-0.04737921617454974,0.045569364719915934,0.3252407756759107,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230202,2023-02-02,100012.38591498468,299.0396866998444,0.004906714679389904,-0.6538985608102383,0.3506915691394993,0.3351038910904418,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230203,2023-02-03,100063.1756385632,299.0669096529319,0.0028458128508960906,-0.15427695961149857,0.0985168582302029,0.3638500137274076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230204,2023-02-04,100035.08231251506,299.6145321705806,0.008240047198768304,-0.25105363575508566,0.5490270143002899,0.37551427738700077,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230205,2023-02-05,100002.44569612859,300.16419709911,9.482777296730458E-4,0.212312467210868,0.1748109361646496,0.37189744352534887,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230206,2023-02-06,100086.61674183111,299.5622792682449,9.372791543713604E-4,0.27909183083768224,0.12059628302868432,0.3566201111777126,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230207,2023-02-07,100077.57146579228,299.65406877018114,2.8188364769526916E-6,0.24868370277518503,-0.2015078237730518,0.34051114444707453,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208,2023-02-08,100057.83450000797,299.9092284458334,1.6291066493208647E-4,0.1731221055250814,0.2359201030270356,0.32706298190737193,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230209,2023-02-09,100184.51707763528,299.51441290069334,0.0010896269680941905,0.27269942223961247,0.18760248393533263,0.32324740594074497,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230210,2023-02-10,100216.3800391752,299.800003608899,1.8707294768561083E-4,-0.1109125144436664,0.33653029909442295,0.31589250568014343,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230211,2023-02-11,100299.35689362268,299.0272754947072,7.582889841764789E-4,0.2835554984315455,0.24337559408946086,0.31220382285069387,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230212,2023-02-12,100246.47445706227,299.45145955884215,3.4132204329198E-4,0.28339760829972765,0.12647374645851744,0.30541664918664985,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230213,2023-02-13,100232.36313228287,299.66314489793604,3.9088327049392247E-4,0.21713125460680072,0.5805999096776305,0.3009550586631198,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230214,2023-02-14,100220.50873981765,299.11991681317784,8.797333439734445E-4,0.46493879515529474,-0.23160105813995469,0.30050107529708175,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230215,2023-02-15,100074.5906417045,299.2911465903117,2.9823005715941727E-6,0.1430122181979176,0.253779045104522,0.2940607561573901,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230216,2023-02-16,100078.93402503873,299.6839519626376,2.8791988561079686E-4,0.2742990149172299,0.23994281320907784,0.28789852725612625,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230217,2023-02-17,100176.9040655592,299.32779694497697,0.001238121228273105,0.22050847868490056,0.3730480595841003,0.29170956206387627,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230218,2023-02-18,100242.84715053646,298.8859526839075,0.0019421984775326252,0.23134481203299562,-0.03507774055885401,0.3018470556206652,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230219,2023-02-19,100233.26594506222,299.6857353466781,1.1946470060567707E-5,0.20690618923814094,-0.07971526669659199,0.2953428278062218,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230220,2023-02-20,100249.80960946188,300.29714856363853,7.653764082643473E-6,0.2897236217944034,0.04092362685363474,0.288398639157581,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230221,2023-02-21,100231.48247205898,300.77286581655505,1.0534438658177287E-4,0.4009981546311413,-0.030506386165364403,0.2829068790678366,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230222,2023-02-22,100161.59922416166,300.6895520874823,3.263485407231228E-4,0.11956604192829833,0.38017905050780515,0.27903994443196206,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230223,2023-02-23,100143.06981306676,299.9444406841621,0.0010760609982428944,0.18916750716566966,0.4784411199821677,0.2834845677148925,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230224,2023-02-24,100286.7791528382,299.9334132472746,1.7275115080093182E-6,0.4775171278760846,-0.3673985029215537,0.2791618304064045,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230225,2023-02-25,100372.28353404575,300.58043553883937,5.8438847978513774E-5,0.3071924913443974,-0.18497657497881528,0.2748005345744975,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230226,2023-02-26,100415.65626837149,300.71574798457425,9.007593730877314E-5,-0.004263676621475697,0.2306833542343343,0.27169056468348707,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230227,2023-02-27,100420.74335417469,299.93476105745145,2.4935672908424644E-5,-0.11999214393385536,0.21855237439842606,0.26884282530894554,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230228,2023-02-28,100412.60444640563,300.68501725915047,7.3212430558700285E-6,0.35075264375991355,-0.20768658159615713,0.26635157567604417,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230301,2023-03-01,100384.73705329806,301.2636876943694,0.001006688659580232,-0.20601245243255017,0.2622050858845088,0.2672270202682574,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230302,2023-03-02,100434.96148711724,301.21011334701376,1.6729283259742924E-5,0.17385341436448246,-0.16086171054255438,0.26926868072795906,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230303,2023-03-03,100446.7786864501,301.05056430680463,8.607292287028575E-7,-0.23762447321869204,0.19723181012932361,0.26618595733165684,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230304,2023-03-04,100442.29903244128,301.02800993237855,7.388868453962214E-7,0.4287915913613603,0.19127674059220728,0.26384349338766727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230305,2023-03-05,100405.15287840008,301.4959443031932,2.965087574490353E-4,0.20457698341917144,-0.05464996813237487,0.26334778771605083,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230306,2023-03-06,100290.4177574491,301.12399351581064,8.161378028036929E-6,0.10807802448164944,-0.03838373897081098,0.2626901897820649,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230307,2023-03-07,100220.63119774999,300.8910906574219,1.720129843549366E-6,0.21130644849522037,-0.006396890517710662,0.26119981865023667,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230308,2023-03-08,100156.81660399247,301.4948167290764,7.697550205833096E-6,0.32599459452215823,0.10781909994156777,0.2599694876447866,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230309,2023-03-09,100111.71269986722,301.9187823842533,6.146043457017903E-6,0.17350294257832455,0.16445861199194747,0.25896651080801364,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230310,2023-03-10,100132.12299346288,301.313579750084,2.6174034231971733E-4,0.38615284614916084,0.4550632146534287,0.25916265337953537,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230311,2023-03-11,100136.35111501158,301.4125841807712,2.6672221712108066E-4,0.33064941936336556,0.007990862747441848,0.2604025801667687,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230312,2023-03-12,100067.84747482467,301.95365613228233,3.257910201872109E-4,0.35794364822815067,0.2935947716587194,0.2608963128021237,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230313,2023-03-13,100008.94488226781,301.9817338836409,7.989361952601242E-5,0.4499821452541928,-0.07810372662294911,0.2605795419507051,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230314,2023-03-14,99924.93215631672,302.00102400685154,7.446376920829692E-4,0.4177414591258814,0.14635644637989534,0.26265999364915965,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230315,2023-03-15,99975.39059712001,300.7454735003551,0.006627019733111288,0.3782549256357899,0.3400035997840817,0.2920134854239331,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230316,2023-03-16,100074.80238021114,299.9794867836895,0.005654365236987214,0.12967053150697916,-0.08533133274231527,0.35061303806041266,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230317,2023-03-17,100013.33498940448,300.71479690864504,0.004290685239880794,0.19543169025962695,-0.12176894705976797,0.3709832260364782,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230318,2023-03-18,100020.32869011263,299.7680427976806,0.0049495804551936105,0.07419463987461665,0.5128446938484559,0.3900438566192983,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230319,2023-03-19,100005.68160834291,299.44252851706085,0.002582865389165584,0.35699919517086975,0.01726119229392029,0.40245432681168397,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230320,2023-03-20,99966.67947555346,300.06924125675056,0.0016816608659927373,0.6375954193856256,0.15111163766184368,0.38687461138144186,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230321,2023-03-21,99931.2127211734,300.84402642225416,1.1881108438053703E-6,0.6266112712186495,-0.6644558755806083,0.36271940961109367,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230322,2023-03-22,99959.88371381589,300.8237325333821,1.509657664809348E-6,0.590179732476652,-0.6464227602621988,0.34023459139086915,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230323,2023-03-23,99965.983026137,301.31892925793915,1.5090395640104675E-5,0.6658679537366741,-0.1277695882347631,0.3238174376801267,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230324,2023-03-24,100038.48505474337,300.71445674302413,0.0019152639530771837,0.14724831157527957,0.04783095289185181,0.3220993312079541,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230325,2023-03-25,100084.50619639998,301.17703722268146,0.0013036526304732294,-0.12359404423472142,0.03525173947822305,0.32303692306058174,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230326,2023-03-26,100076.66942285263,300.0771211288714,0.0059078392539100005,-0.04103605167440732,-0.03094456764436252,0.34156139941008595,"{""type"":""MultiPoint"",""coordinates"":[]}"
