system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20220101,2022-01-01,294.018332445044,-0.01677885135045303,9.335959286540157E-4,100193.11435172403,7.3056180383425685E-6,1.7358014858997483E7,300.20092075956404,0.0011842744571247312,-0.6545822021121204,-0.7623446944069727,0.2907026770997899,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220102,2022-01-02,293.933202862066,-0.017749513036296377,8.883265556087146E-4,100031.62400788342,3.577219077150528E-7,1.7782872003606204E7,300.30728168283497,6.100531631198722E-5,-0.5909955803914373,-0.5240053703527293,0.2900763859125783,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220103,2022-01-03,292.5988344088643,-0.02084612832402994,8.504223703177363E-4,100069.42247920326,3.2003373821160873E-7,2.066021900324558E7,300.13774511839625,5.4683824612278795E-5,-0.5508423030971121,-0.5030047759111004,0.28581211070828694,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220104,2022-01-04,292.25491112673393,-0.021604951179569225,8.136011818622021E-4,100099.71062741587,8.587378523558692E-8,2.1122257500901558E7,300.0730261797515,1.4685024498947427E-5,-0.1537676977558139,0.0517845456453166,0.2814996338532598,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105,2022-01-05,293.0371689994198,-0.018962792678727088,7.814242737283786E-4,100142.86467595359,1.4408880134717335E-6,1.96904245640101E7,299.5775841645201,2.496146764559219E-4,0.2696540684407112,-0.23039007960696795,0.2796613336942104,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220106,2022-01-06,293.32802244223774,-0.019920038973547858,7.48889450235054E-4,100054.15690004385,1.0607337590550155E-6,2.1805419467003252E7,299.8516032478819,1.8233946728267501E-4,0.3777622569565993,0.06344563820024197,0.2766717121368676,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220107,2022-01-07,294.48126531372367,-0.018878755569081855,7.186674261368271E-4,100134.22143851095,9.826061057562953E-7,2.048434268878471E7,300.03507321395904,1.7481205945834826E-4,0.5666641501770499,-0.017470394537589033,0.2753067719333087,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220108,2022-01-08,294.1552857714127,-0.018711614395967687,6.914946025259607E-4,100116.5195112351,2.112426333938142E-6,1.9608550879913453E7,299.90796853418686,3.801468065229512E-4,0.436749348604331,-0.07649134874544487,0.2741911815098093,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220109,2022-01-09,294.42575531519435,-0.01754152576925735,6.680473486439143E-4,100040.64555406394,4.95992377910896E-6,1.907478861810314E7,299.7583227433871,9.053930586142972E-4,0.39491978326745447,0.18079306010601542,0.2758191177830386,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220110,2022-01-10,294.4794493332579,-0.01809677350265301,6.403207410834906E-4,100026.78334851182,1.8084356598247056E-6,1.9121997976199068E7,299.9531883492409,3.364183293989758E-4,0.40198603876079275,-0.14620046527329253,0.2791906692242591,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220111,2022-01-11,293.8308715130192,-0.01974903277883537,6.142853642687917E-4,100037.12921821239,1.3896017955005537E-7,2.084423050198341E7,300.05711268174974,2.6016182287686952E-5,0.4461896595637922,-0.2506235261736674,0.27651210025549366,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220112,2022-01-12,293.63904393660744,-0.01933095166362282,5.908265476122774E-4,100048.06831699742,1.7789906858753054E-7,2.0209311271547064E7,299.6459348916807,3.349566895997013E-5,0.5729721868420781,-0.705277626883283,0.27346881534463163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220113,2022-01-13,292.58569216369966,-0.021788053793561964,5.679071336458017E-4,99989.96835885847,1.7545002271154922E-9,2.21036733487198E7,299.62111622044245,1.4514409572032468E-6,0.6972860408984264,-0.777791154515014,0.2706514908324814,"{""type"":""MultiPoint"",""coordinates"":[]}"
