system:index,LST_Celsius,date,.geo
2016_06_01,27.01123859263322,2016-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_06_09,27.682689688206153,2016-06-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_06_17,28.161523944630744,2016-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_06_25,22.09533333333337,2016-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07_03,,2016-07-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07_11,25.163675600739452,2016-07-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07_19,,2016-07-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_07_27,27.535843730921954,2016-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08_04,27.548830567725133,2016-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08_12,27.820708813143938,2016-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08_20,25.887716887157183,2016-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_08_28,29.449944229363552,2016-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09_05,27.578707615116855,2016-09-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09_13,27.80751612536625,2016-09-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09_21,26.624878168415705,2016-09-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_09_29,29.57026270304823,2016-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10_07,28.72934280414802,2016-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10_15,28.457230560776168,2016-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10_23,27.51811903406218,2016-10-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_10_31,31.772261842572334,2016-10-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_11_08,29.37215255161226,2016-11-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_11_16,30.661744162219577,2016-11-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_11_24,29.23525971921009,2016-11-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12_02,29.25027753664483,2016-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12_10,29.030518486599078,2016-12-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12_18,29.575556151746866,2016-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2016_12_26,30.115598274655042,2016-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01_01,30.14305281690764,2017-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01_09,30.555039450269078,2017-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01_17,31.931433880953136,2017-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_01_25,31.47582537960369,2017-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02_02,32.26832050248163,2017-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02_10,33.385509183333056,2017-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02_18,32.014742566485154,2017-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_02_26,34.267332291761136,2017-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03_06,31.85256464865904,2017-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03_14,30.691693266153493,2017-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03_22,32.49538311465841,2017-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_03_30,32.02189825500079,2017-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_04_07,31.964291169247588,2017-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_04_15,31.136011118125623,2017-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_04_23,32.29992954993014,2017-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05_01,31.87464346244201,2017-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05_09,31.486756056628508,2017-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05_17,30.38086995840115,2017-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_05_25,30.768053757777068,2017-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06_02,26.45592074217086,2017-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06_10,25.929359270376324,2017-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06_18,29.56393750611545,2017-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_06_26,20.34209011190171,2017-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07_04,24.799519965088336,2017-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07_12,24.113312512593154,2017-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07_20,27.870014017595622,2017-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_07_28,28.041123220843417,2017-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08_05,28.08079948911211,2017-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08_13,31.254853119599943,2017-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08_21,25.379269546066382,2017-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_08_29,29.193224810507274,2017-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09_06,27.599666923219957,2017-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09_14,25.681233505645707,2017-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09_22,30.899999302457843,2017-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_09_30,27.444536361069822,2017-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_10_08,29.148002766163245,2017-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_10_16,29.683591073381365,2017-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_10_24,30.924045008882104,2017-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_01,30.61942532439633,2017-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_09,29.240811831922088,2017-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_17,29.50464048312591,2017-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_11_25,26.23207516218031,2017-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017_12_03,29.544342100332017,2017-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
